	Analysis of efficacy
23609	Sex of 137 live births in Taiwan 1978–1985, by date of birth
23610	Rates of twinning by use of folic acid before conception
23611	Resistance to ciprofloxacin in S typhi in the UK, 1991–99
23612	Absorption of iron from a 3 mg reference dose of iron as iron  (II)  sulphate with 30 mg ascorbic acid and a 1 mg dose of reduced iron in bread
23613	Geometric means  (within treatment 95% CI)  for placebo inhaler, 2 mg nominal dose of fluticasone propionate delivered via a pressurised metered dose inhaler and spacer  (pMDI+spacer) , and via a dry powder Accuhaler  (Diskus)  device
23614	Sensitivity of bacterial isolates and place of acquisition
23615	Laboratory tests on second admission
23616	Virulence factor  (VF)  and antibiotic resistance profiles
23617	Quantification of exosomes
23618	Functional activity of bulk lymphocytes stimulated with DC +/- exosomes or tumour cells
23619	Primary outcome
23620	Risk factors for treatment failure or relapse
23621	Rate of treatment failure or relapse by presence of specified risk factor
23622	Number of adverse events by treatment group
23623	Treatment outcomes
23624	Comparison of treatment success with failure by site
23625	Ploidy status of patients, by molecular marker
23626	Prognostic and predictive value of molecular markers
23627	Observed and predicted concentrations of arsenic in cooked rice
23628	Number of cycles of allocated treatment received
23629	Side-effects in first 3 months of randomisation
23630	Tumour response rates at 12 weeks
23631	Rates of multiple birth and crude and adjusted rate ratios for multiple birth, according to folic acid pill-taking status
23632	Distribution of children by age, sex, and socioeconomic status
23633	Care-seeking behaviour by number and duration of symptoms
23634	Differences by sex in morbidity and care-seeking behaviour
23635	Socioeconomic differences in morbidity and care-seeking behaviour
23636	Primary and secondary events after randomisation
23637	Pregnancy outcomes
23638	Clinical details and indications for delivery of 11 women with elective preterm delivery
23639	Difference in percentage of spontaneous preterm deliveries and miscarriages between treatment groups by factors that might affect outcome
23640	Association between total dietary fibre and distal colorectal adenoma
23641	Association between fibre food groups and distal colorectal adenomas
23642	Description of the EPIC cohort
23643	Numbers of cancers and hazard ratios by quintile of sex-specific total fibre intake
23644	Intakes of fibre and colorectal cancer by quintile of sex-specific source of fibre intake
23645	Covariate definitions
23646	Results of neuro development tests for cognition and achievement by prenatal exposure
23647	Neurodevelopmental tests for motor, perceptual motor and memory by prenatal exposure
23648	Neurodevelopmental tests for attention and behaviour by prenatal exposure
23649	Social and environmental covariate effects
23650	Sample description of gonococcal isolates seen in participating GRASP clinics,  *  2000–02
23651	Trends in ciprofloxacin resistance in N gonorrhoeae in participating GRASP clinics,  *   2000–02
23652	Quintiles of fat and hazard ratios by quintile
23653	Proportion of resident population tested for Chlamydia trachomatis by Amplicor
23654	Relation between culture positivity, LightCycler  (LC)  positivity, and estimated number of copies of omp1 per swab in individuals from Rombo with signs of active trachoma and an Amplicor positive swab
23655	Amplicor positivity by clinical sign of trachoma in the swabbed eye
23656	Estimated copies of omp1 per swab by clinical sign of trachoma in the swabbed eye
23657	Chronological description of cases
23658	Risk factors for abandonment of treatment
23659	Environmental samples of various origins tested for the presence of E sakazakii
23660	Antimicrobial susceptibility, plasmid profile, and antimicrobial resistance phenotype of the clinical isolates of S choleraesuis  (SCB43 and SCB67)  and the control strain  (NCTC8393)
23661	Prognostic value of the variables included in univariate analysis for first episode of severe bacterial infection
23662	Chest radiograph findings on admission
23663	Age-adjusted hazard ratios by group and outcome
23664	Age-adjusted hazard ratios by group and outcome when wheezing children omitted
23665	Haematological reconstitution and transplant outcomes
23666	Primer sequences
23667	Taqman validation with laboratory isolates
23668	IC50 values for antimalarials in relation to pfmdr1 copy number
23669	Temporal trends of the efficacy of mefloquine monotherapy and parasite genotype in primary infections
23670	NSABP B-14: outcome according to treatment group, age, menopausal status, and tumour oestrogen-receptor concentration
23671	NSABP B-20: outcome according to treatment group, age, menopausal status, and tumour oestrogen-receptor concentration
23672	NSABP B-14 and B-20: quantitative concentrations of tumour oestrogen receptors by age or menopausal status and treatment group
23673	Doses of drugs
23674	Culture results at 2 months
23675	Status at the end of treatment
23676	Status 12 months after the scheduled end of treatment
23677	Difference between regimens in proportions with an unfavourable status 12 months after the end of treatment
23678	Adverse events resulting in a change of treatment or interruption of 7 days or more
23679	Relative risk of myocardial infarction comparing rofecoxib with control, from stratified meta-analyses
23680	Responses at the end of the study for overall improvement and decrease in number of inflamed lesions
23681	Treatment differences and odds ratios for specified comparisons for overall improvement according to the patient at week 18
23682	Effect of skin colonisation with tetracycline-resistant propionibacteria on treatment outcome
23683	Relative cost-effectiveness of treatment regimens based on patients' self-assessment of improvement
23684	Correlation between antibiotic use and resistance, by organism and year of isolation
23685	Comparison of transmission rates in primates and cattle infected orally with similar BSE brain inocula
23686	MRS score, primary outcome, and death
23687	Accommodation and feeding at 6 months' follow-up
23688	Number and proportion of patients with each Modified Rankin scale  (MRS)  score and with our primary outcomes by treatment allocation
23689	Incidence of invasive pneumococcal disease in metropolitan Atlanta by year, age-group, macrolide resistance, and mechanism of resistance
23690	MIC to erythromycin of mefE-containing S pneumoniae, metropolitan Atlanta, 1995–2002
23691	Incidence of invasive pneumococcal disease in metropolitan Atlanta by year, serotype, macrolide resistance, and mechanism of resistance
23692	Incidence of macrolide resistance in pneumococcal serotype 14 isolates by year and age-group
